School_ID,Name_of_School,Elementary_Middle_High_School,Students_Passing_Algebra,X10_Grade_Plan_2009,X10_Grade_Plan_2010,Graduation_Rate
610532,Irene C. Hernandez Middle School for the Advancement of Science,MS,40.4,,,
609983,James Hedges Elementary School,ES,61.5,,,
610145,Peter A Reinberg Elementary School,ES,80.8,,,
609895,Turner-Drew Elementary Language Academy,ES,,,,
609726,Gwendolyn Brooks College Preparatory Academy High School,HS,,18.7,18.7,88.1
610283,Simon Guggenheim Elementary School,ES,,,,
609893,John C Dore Elementary School,ES,,,,
610018,Miriam G Canter Middle School,MS,76.9,,,
610108,Luke O'Toole Elementary School,ES,,,,
610167,William H Seward Communication Arts Academy Elementary School,ES,46.4,,,
610101,William B Ogden Elementary School,ES,,,,
610340,Chicago Academy High School,HS,,16.3,16.1,70.1
609985,Helen M Hefferan Elementary School,ES,,,,
610126,John J Pershing Elementary Humanities Magnet,ES,,,,
609874,Everett McKinley Dirksen Elementary School,ES,,,,
609937,John W Garvy Elementary School,ES,45.5,,,
609903,Richard Edwards Elementary School,ES,,,,
610019,Joshua D Kershaw Elementary School,ES,,,,
610395,Pershing West Middle School,MS,50,,,
609744,Northside Learning Center High School,HS,,,,
610268,Arthur R Ashe Elementary School,ES,,,,
609939,Frank L Gillespie Elementary School,ES,,,,
609932,Jesse Owens Elementary Community Academy,ES,,,,
610203,Enrico Tonti Elementary School,ES,,,,
609951,Ariel Elementary Community Academy,ES,28.6,,,
610175,Beulah Shoesmith Elementary School,ES,,,,
609810,Norman A Bridge Elementary School,ES,,,,
610048,George Manierre Elementary School,ES,,,,
610293,Genevieve Melody Elementary School,ES,,,,
610131,Ambrose Plamondon Elementary School,ES,,,,
610059,Oscar F Mayer Elementary School,ES,,,,
609959,John Charles Haines Elementary School,ES,93.1,,,
610240,Matthew A Henson Elementary School,ES,,,,
609977,Woodlawn Community Elementary School,ES,,,,
610313,Jose De Diego Elementary Community Academy,ES,23,,,
610124,Harold Washington Elementary School,ES,,,,
610033,LaSalle Elementary Language Academy,ES,,,,
609859,DeWitt Clinton Elementary School,ES,46.7,,,
610256,Jackie Robinson Elementary School,ES,,,,
609912,James B Farnsworth Elementary School,ES,,,,
610513,Air Force Academy High School,HS,,,16,
610111,John Palmer Elementary School,ES,74.2,,,
609909,Edward Everett Elementary School,ES,,,,
610195,Elizabeth H Sutherland Elementary School,ES,,,,
609774,Louisa May Alcott Elementary School,ES,73.9,,,
610295,Thomas J Higgins Elementary Community Academy,ES,,,,
610089,John B Murphy Elementary School,ES,,,,
610502,Marine Military Math and Science Academy ,HS,,15.9,15.3,
610194,Charles Sumner  Math & Science Community Acad Elementary School,ES,23.8,,,
610219,George Washington Elementary School,ES,25,,,
610090,Phillip Murray Elementary Language Academy,ES,,,,
